id,marketing_channel,account_creation_method,country_code,loyalty_program,created_on
48c3241c,unknown,tv,NZ,1,3/2/21
1001a4c1,unknown,tv,US,1,6/28/20
33c0b462,unknown,tv,US,1,7/4/20
9c9f5d04,unknown,tv,US,1,7/14/20
9577c084,unknown,tv,US,1,3/27/21
def828b5,unknown,tv,ES,0,8/22/22
83ebf5f2,unknown,tv,US,0,12/14/21
04e17b20,unknown,tv,US,0,4/4/21
7a52a4ff,unknown,tv,US,1,11/13/19
77794f03,unknown,tv,US,1,8/3/20
36df9ec5,unknown,tv,US,1,12/30/21
869bd05d,unknown,tv,US,1,8/6/20
281c1e92,unknown,tv,AU,1,11/26/19
b50b5d3c,unknown,tv,US,1,4/26/21
9e5dd420,unknown,tv,US,1,12/6/19
b64a116f,unknown,tv,US,1,5/1/21
b05859a1,unknown,tv,JP,0,5/4/21
970a9f17,unknown,tv,US,1,5/16/21
17b6acad,unknown,tv,US,1,1/29/22
5cee2b5c,unknown,tv,US,1,1/5/20
9348e7ba,unknown,tv,BR,1,1/14/20
128f1dca,unknown,tv,US,1,6/21/21
ad0b128f,unknown,tv,US,1,1/31/20
a7c3a0f8,unknown,tv,HU,1,10/24/20
0ce0995a,unknown,tv,US,1,2/14/20
878b946c,unknown,tv,US,1,7/11/21
bf697784,unknown,tv,GB,1,2/17/20
13c8f071,unknown,tv,US,0,11/6/20
f3677feb,unknown,tv,US,1,4/2/22
1e86c7fc,unknown,tv,US,1,3/2/20
6ea27580,unknown,tv,BR,1,11/17/20
19ee2d59,unknown,tv,US,0,10/28/18
84681090,unknown,tv,US,1,4/6/20
9d636f14,unknown,tv,US,1,4/6/20
b38c34d3,unknown,tv,US,1,4/13/20
b18548a2,unknown,tv,JP,0,12/27/20
d0ff2fda,unknown,tv,NO,1,9/10/21
13e868da,unknown,tv,US,1,1/1/21
70983a85,unknown,tv,US,1,9/19/21
8cfdf4f2,unknown,tv,US,1,1/9/21
bd3ca07d,unknown,tv,CL,1,9/22/21
99c977f2,unknown,tv,US,1,9/24/21
cbed4a72,unknown,tv,AT,1,1/12/21
be8e1c22,unknown,tv,CA,1,1/18/21
a166e82f,unknown,tv,US,0,12/14/18
9339713e,unknown,tv,US,0,12/17/18
1203a274,unknown,tv,US,0,12/30/18
ea26c08e,unknown,tv,US,0,9/26/19
f9f7260f,unknown,tv,US,1,1/14/19
73c251f7,unknown,tv,GB,1,11/5/21
f641b6c8,unknown,tv,US,1,2/24/21
59c9e30b,,,US,1,11/13/21
ebe56912,,,US,1,7/27/22
8be194d3,,,GB,1,3/3/21
68345fea,,,US,1,11/14/21
1e5bcb9b,,,ES,1,11/14/21
a6d67a42,,,IN,0,6/21/20
1d8facab,,,HK,1,11/15/21
d3d04900,,,CA,0,7/29/22
11734315,,,US,0,7/29/22
e084adaa,,,US,0,6/22/20
eb87a015,,,US,0,3/6/21
0c7bc389,,,CA,0,11/17/21
27633436,,,CZ,1,7/31/22
d705ef2f,,,US,0,7/31/22
0b87b95d,,,JP,1,7/31/22
52b7f51b,,,US,0,7/31/22
9d35b3a4,,,US,1,7/31/22
4b5e4ef9,,,US,1,7/31/22
aea24042,,,US,0,6/24/20
3f83ef5d,,,US,1,3/7/21
3f1a05ee,,,US,1,11/18/21
06bd80a1,,,US,1,8/1/22
00e54666,,,SG,1,8/2/22
17f46920,,,PL,0,11/20/21
7993d435,,,US,1,8/3/22
935a1129,,,US,0,8/3/22
1eba93db,,,US,1,3/10/21
175a6722,,,US,1,11/21/21
fed108e2,,,GB,1,8/4/22
dbb229df,,,VE,1,8/4/22
1213f25f,,,US,1,8/4/22
ea961bd9,,,US,0,10/16/19
